# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  7.3445e+14   1.0795e+01   7.0000e-01  -1.0957e-01   5.6332e-01   0.0000e+00   7.0795e-01  -1.5000e-01 
  7.4963e+14   1.0710e+01   7.0000e-01  -1.1974e-01   6.2536e-01   0.0000e+00   7.9433e-01  -1.0000e-01 
  7.6689e+14   1.0627e+01   7.0000e-01  -1.3014e-01   6.9302e-01   0.0000e+00   8.9125e-01  -5.0000e-02 
  7.8622e+14   1.0547e+01   7.0000e-01  -1.4057e-01   7.6654e-01   0.0000e+00   1.0000e+00  -4.6288e-15 

 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.7658e-07   8.3211e-07   0.0000e+00   1.0000e-06  -6.0000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.9813e-07   9.3364e-07   0.0000e+00   1.1220e-06  -5.9500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.2231e-07   1.0476e-06   0.0000e+00   1.2589e-06  -5.9000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.4943e-07   1.1754e-06   0.0000e+00   1.4125e-06  -5.8500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.7987e-07   1.3188e-06   0.0000e+00   1.5849e-06  -5.8000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.1402e-07   1.4797e-06   0.0000e+00   1.7783e-06  -5.7500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.5233e-07   1.6603e-06   0.0000e+00   1.9953e-06  -5.7000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.9532e-07   1.8629e-06   0.0000e+00   2.2387e-06  -5.6500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -4.4356e-07   2.0902e-06   0.0000e+00   2.5119e-06  -5.6000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -4.9768e-07   2.3452e-06   0.0000e+00   2.8184e-06  -5.5500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -5.5841e-07   2.6313e-06   0.0000e+00   3.1623e-06  -5.5000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -6.2655e-07   2.9524e-06   0.0000e+00   3.5481e-06  -5.4500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -7.0300e-07   3.3127e-06   0.0000e+00   3.9811e-06  -5.4000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -7.8878e-07   3.7169e-06   0.0000e+00   4.4668e-06  -5.3500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -8.8502e-07   4.1704e-06   0.0000e+00   5.0119e-06  -5.3000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -9.9301e-07   4.6793e-06   0.0000e+00   5.6234e-06  -5.2500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.1142e-06   5.2502e-06   0.0000e+00   6.3096e-06  -5.2000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.2501e-06   5.8909e-06   0.0000e+00   7.0795e-06  -5.1500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.4027e-06   6.6096e-06   0.0000e+00   7.9433e-06  -5.1000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.5738e-06   7.4161e-06   0.0000e+00   8.9125e-06  -5.0500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.7658e-06   8.3211e-06   0.0000e+00   1.0000e-05  -5.0000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.9813e-06   9.3364e-06   0.0000e+00   1.1220e-05  -4.9500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.2231e-06   1.0476e-05   0.0000e+00   1.2589e-05  -4.9000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.4943e-06   1.1754e-05   0.0000e+00   1.4125e-05  -4.8500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -2.7987e-06   1.3188e-05   0.0000e+00   1.5849e-05  -4.8000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.1402e-06   1.4797e-05   0.0000e+00   1.7783e-05  -4.7500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.5233e-06   1.6603e-05   0.0000e+00   1.9953e-05  -4.7000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -3.9532e-06   1.8629e-05   0.0000e+00   2.2387e-05  -4.6500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -4.4356e-06   2.0902e-05   0.0000e+00   2.5119e-05  -4.6000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -4.9768e-06   2.3452e-05   0.0000e+00   2.8184e-05  -4.5500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -5.5841e-06   2.6313e-05   0.0000e+00   3.1623e-05  -4.5000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -6.2655e-06   2.9524e-05   0.0000e+00   3.5481e-05  -4.4500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -7.0300e-06   3.3127e-05   0.0000e+00   3.9811e-05  -4.4000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -7.8878e-06   3.7169e-05   0.0000e+00   4.4668e-05  -4.3500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -8.8502e-06   4.1704e-05   0.0000e+00   5.0119e-05  -4.3000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -9.9301e-06   4.6793e-05   0.0000e+00   5.6234e-05  -4.2500e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.1142e-05   5.2502e-05   0.0000e+00   6.3096e-05  -4.2000e+00 
  6.6643e+14   1.1402e+01   7.2000e-01  -1.2501e-05   5.8909e-05   0.0000e+00   7.0795e-05  -4.1500e+00 
