# rho - energy density in [g/cm^3]
# R   - radius in km
# M   - mass in solar masses
# chi[0] - the scalar field in the centre of the star
# abs(alpha_A) - the absolut value of alpha_A for this star
# beta   - theory parameter (for now set to 0)
# alpha  - theory parameters, related to the Brans-Dicke parameter. This is the one we want to sample
# log(alpha) - the table is build to have equal spacing between the models in terms of log(alpha), and NOT alpha alone
#   rho          R             M           chi[0]    abs(alpha_A)      beta        alpha      log(alpha) 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.3813e-05   1.6782e-04   0.0000e+00   1.9953e-04  -3.7000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.7939e-05   1.8829e-04   0.0000e+00   2.2387e-04  -3.6500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -4.2568e-05   2.1127e-04   0.0000e+00   2.5119e-04  -3.6000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -4.7762e-05   2.3705e-04   0.0000e+00   2.8184e-04  -3.5500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -5.3590e-05   2.6597e-04   0.0000e+00   3.1623e-04  -3.5000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -6.0129e-05   2.9842e-04   0.0000e+00   3.5481e-04  -3.4500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -6.7465e-05   3.3484e-04   0.0000e+00   3.9811e-04  -3.4000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -7.5698e-05   3.7569e-04   0.0000e+00   4.4668e-04  -3.3500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -8.4934e-05   4.2154e-04   0.0000e+00   5.0119e-04  -3.3000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -9.5298e-05   4.7297e-04   0.0000e+00   5.6234e-04  -3.2500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.0693e-04   5.3068e-04   0.0000e+00   6.3096e-04  -3.2000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.1997e-04   5.9544e-04   0.0000e+00   7.0795e-04  -3.1500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.3461e-04   6.6809e-04   0.0000e+00   7.9433e-04  -3.1000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.5104e-04   7.4961e-04   0.0000e+00   8.9125e-04  -3.0500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.6947e-04   8.4107e-04   0.0000e+00   1.0000e-03  -3.0000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -1.9014e-04   9.4370e-04   0.0000e+00   1.1220e-03  -2.9500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.1334e-04   1.0589e-03   0.0000e+00   1.2589e-03  -2.9000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.3938e-04   1.1880e-03   0.0000e+00   1.4125e-03  -2.8500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -2.6858e-04   1.3330e-03   0.0000e+00   1.5849e-03  -2.8000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.0136e-04   1.4957e-03   0.0000e+00   1.7783e-03  -2.7500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.3813e-04   1.6782e-03   0.0000e+00   1.9953e-03  -2.7000e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -3.7939e-04   1.8829e-03   0.0000e+00   2.2387e-03  -2.6500e+00 
  5.9050e+14   1.1973e+01   7.2000e-01  -4.2568e-04   2.1127e-03   0.0000e+00   2.5119e-03  -2.6000e+00 
  5.9051e+14   1.1973e+01   7.2000e-01  -4.7762e-04   2.3705e-03   0.0000e+00   2.8184e-03  -2.5500e+00 
  5.9051e+14   1.1973e+01   7.2000e-01  -5.3590e-04   2.6597e-03   0.0000e+00   3.1623e-03  -2.5000e+00 
